; Deshpande (p. 305-310) gives the following for 3rd person (s., du., pl.)
_,m,prf ci cikye cikyAte cikyire
_,m,prf ci cicye cicyAte cicyire
_,a,prf Cid cicCeda cicCidatuH cicCiduH
_,m,prf Cid cicCide cicCidAte cicCidire
_,m,prf jan jajYe jajYAte jajYire
_,a,prf jAgf jajAgAra jajAgaratuH jajAgaruH
; page 307
_,a,prf ji jigAya jigyatuH jigyuH
_,a,prf jIv jijIva jijIvatuH jijIvuH
_,a,prf jYA jajYO jajYatuH jajYuH
_,m,prf jYA jajYe jajYAte jajYire
_,a,prf jval jajvAla jajvalatuH jajvaluH
_,a,prf tan tatAna tenatuH tenuH
_,m,prf tan tene tenAte tenire
_,a,prf tud tutoda tutudatuH tutuduH
_,m,prf tud tutude tutudAte tutudire
_,a,prf tuz tutoza tutuzatuH tutuzuH
_,a,prf tF tatAra teratuH teruH
_,a,prf tyaj tatyAja tatyajatuH tatyajuH
_,a,prf daMS dadaMSa dadaMSatuH dadaMSuH
_,a,prf dah dadAha dehatuH dehuH
_,a,prf dA dadO dadatuH daduH
_,m,prf dA dade dadAte dadire
_,a,prf div dideva didivatuH didivuH
_,a,prf diS dideSa didiSatuH didiSuH
_,a,prf duh dudoha duduhatuH duduhuH
_,m,prf duh duduhe duduhAte duduhire
_,a,prf dfS dadarSa dadfSatuH dadfSuH
_,a,prf dviz didveza didvizatuH didvizuH
_,m,prf dviz didvize didvizAte didvizire
_,a,prf DA daDO daDatuH daDuH
_,m,prf DA daDe daDAte daDire
_,a,prf DAv daDAva daDAvatuH daDAvuH
_,a,prf DU duDAva duDuvatuH duDuvuH
_,m,prf DU duDuve duDuvAte duDuvire
_,a,prf DyE daDyO daDyatuH daDyuH
_,a,prf nand nananda nanandatuH nananduH
_,a,prf nam nanAma nematuH nemuH
_,a,prf naS nanASa neSatuH neSuH
_,a,prf nind nininda ninindatuH nininduH
_,a,prf nI ninAya ninyatuH ninyuH
_,a,prf nu nunAva nunuvatuH nunuvuH
_,a,prf nud nunoda nunudatuH nunuduH
_,m,prf nud nunude nunudAte nunudire
_,a,prf nft nanarta nanftatuH nanftuH
_,a,prf pac papAca pecatuH pecuH
_,a,prf paW papAWa peWatuH peWuH
; page 308
_,a,prf pat papAta petatuH petuH
_,a,prf pA papO papatuH papuH
_,a,prf piz pipeza pipizatuH pipizuH
_,a,prf puz pupoza pupuzatuH pupuzuH
_,a,prf pU pupAva pupuvatuH pupuvuH
_,m,prf pU pupuve pupuvAte pupuvire
; Deshpande spells root as pracC
;  papracCa papracCatuH papracCuH
_,a,prf praC paprACa papraCatuH papraCuH
_,a,prf prI piprAya pipriyatuH pipriyuH
_,m,prf prI pipriye pipriyAte pipriyire
_,a,prf banD babanDa babanDatuH babanDuH
_,m,prf bAD babADe babADAte babADire
_,a,prf buD buboDa bubuDatuH bubuDuH
;  Deshpande substitutes 'ah' and 'vac' in active, 'vac' in middle
_,a,prf brU Aha AhatuH AhuH
_,a,prf brU uvAca UcatuH UcuH
_,m,prf brU Uce UcAte Ucire
_,a,prf Baj baBAja BejatuH BejuH
_,m,prf Baj Beje BejAte Bejire
_,a,prf BaYj baBaYja baBaYjatuH baBaYjuH
_,a,prf BA baBO baBatuH baBuH
_,m,prf BAz baBAze baBAzAte baBAzire
_,m,prf Bikz biBikze biBikzAte biBikzire
_,a,prf Bid biBeda biBidatuH biBiduH
_,m,prf Bid biBide biBidAte biBidire
_,a,prf BI biBAya biByatuH biByuH
_,a,prf Buj buBoja buBujatuH buBujuH
_,m,prf Buj buBuje buBujAte buBujire
_,a,prf BU baBUva baBUvatuH baBUvuH
_,a,prf Bf baBAra baBratuH baBruH
_,m,prf Bf baBre baBrAte baBrire
_,a,prf Bram baBrAma baBramatuH baBramuH
_,a,prf Bram baBrAma BrematuH BremuH
_,m,prf man mene menAte menire
_,a,prf manT mamanTa mamanTatuH mamanTuH
_,a,prf mA mamO mamatuH mamuH
_,m,prf mA mame mamAte mamire
_,a,prf muc mumoca mumucatuH mumucuH
_,m,prf mud mumude mumudAte mumudire
; page 309
_,a,prf muz mumoza mumuzatuH mumuzuH
_,a,prf muh mumoha mumuhatuH mumuhuH
_,a,prf mf mamAra mamratuH mamruH
_,a,prf yaj iyAja IjatuH IjuH
_,m,prf yaj Ije IjAte Ijire
_,m,prf yat yete yetAte yetire
_,a,prf yA yayO yayatuH yayuH
_,m,prf yAc yayAce yayAcAte yayAcire
_,a,prf yuj yuyoja yuyujatuH yuyujuH
_,m,prf yuj yuyuje yuyujAte yuyujire
_,m,prf yuD yuyuDe yuyuDAte yuyuDire
_,a,prf rakz rarakza rarakzatuH rarakzuH
_,m,prf ram reme remAte remire
;  Deshpande has this for active rAj.   BUT
; _,a,prf rAj rarAja rejatuH/rarajatuH rejuH/rarajuH
;  'raraj' seems wrong (Compare Kale p.326, and following middle voice
;  So changing to 'rarAj'
_,a,prf rAj rarAja rejatuH rejuH
_,a,prf rAj rarAja rarAjatuH rarAjuH
_,m,prf rAj reje rejAte rejire
_,m,prf rAj rarAje rarAjAte rarAjire
_,a,prf ru rurAva ruruvatuH ruruvuH
_,m,prf ruc ruruce rurucAte rurucire
_,a,prf rud ruroda rurudatuH ruruduH
_,a,prf ruD ruroDa ruruDatuH ruruDuH
_,m,prf ruD ruruDe ruruDAte ruruDire
_,a,prf ruh ruroha ruruhatuH ruruhuH
_,m,prf laB leBe leBAte leBire
_,a,prf liK lileKa liliKatuH liliKuH
_,a,prf lih lileha lilihatuH lilihuH
_,m,prf lih lilihe lilihAte lilihire
_,a,prf lU lulAva luluvatuH luluvuH
_,m,prf lU luluve luluvAte luluvire
_,a,prf vac uvAca UcatuH UcuH
_,a,prf vad uvAda UdatuH UduH
_,m,prf vand vavande vavandAte vavandire
_,a,prf vas uvAsa UzatuH UzuH
_,a,prf vah uvAha UhatuH UhuH
_,a,prf vA vavO vavatuH vavuH
_,a,prf vAYC vavAYCa vavAYCatuH vavAYCuH
_,a,prf vid viveda vividatuH vividuH
_,m,prf vid vivide vividAte vividire
_,a,prf viS viveSa viviSatuH viviSuH
_,m,prf viS viviSe viviSAte viviSire
_,a,prf vf vavAra vavratuH vavruH
_,m,prf vf vavre vavrAte vavrire
; page 310
_,a,prf vF vavAra vavaratuH vavaruH
_,m,prf vF vavare vavarAte vavarire
_,m,prf vft vavfte vavftAte vavftire
_,m,prf vfD vavfDe vavfDAte vavfDire
_,m,prf vep vivepe vivepAte vivepire
_,a,prf vraj vavrAja vavrajatuH vavrajuH
_,a,prf Sak SaSAka SekatuH SekuH
_,a,prf Sap SaSApa SepatuH SepuH
_,a,prf Sam SaSAma SematuH SemuH
_,a,prf SaMs SaSaMsa SaSaMsatuH SaSaMsuH
_,a,prf SAs SaSAsa SaSAsatuH SaSAsuH
_,m,prf SI SiSye SiSyAte SiSyire
_,m,prf SuB SuSuBe SuSuBAte SuSuBire
_,a,prf Sram SaSrAma SaSramatuH SaSramuH
_,a,prf Sru SuSrAva SuSruvatuH SuSruvuH
; Deshpande doesn't show middle voice. The following agrees with Huet
_,m,prf Sru SuSruve SuSruvAte SuSruvire
_,m,prf SlAG SaSlAGe SaSlAGAte SaSlAGire
_,a,prf Svas SaSvAsa SaSvasatuH SaSvasuH
_,a,prf sad sasAda sedatuH seduH
_,m,prf sah sehe sehAte sehire
_,a,prf sAD sasADa seDatuH seDuH
_,a,prf sf sasAra sasratuH sasruH
_,a,prf sfj sasarja sasfjatuH sasfjuH
_,a,prf sfp sasarpa sasfpatuH sasfpuH
_,m,prf sev sizeve sizevAte sizevire
_,a,prf stu tuzwAva tuzwuvatuH tuzwuvuH
_,m,prf stu tuzwuve tuzwuvAte tuzwuvire
_,a,prf sTA tasTO tasTatuH tasTuH
_,a,prf snA sasnO sasnatuH sasnuH
_,a,prf spfS pasparSa paspfSatuH paspfSuH
_,a,prf smf sasmAra sasmaratuH sasmaruH
_,a,prf svap suzvApa suzupatuH suzupuH
_,a,prf han jaGAna jaGnatuH jaGnuH
_,a,prf has jahAsa jahasatuH jahasuH
_,a,prf hA jahO jahatuH jahuH
_,a,prf hiMs jihiMsa jihiMsatuH jihiMsuH
_,a,prf hu juhAva juhuvatuH juhuvuH
_,a,prf hf jahAra jahratuH jahruH
_,m,prf hf jahre jahrAte jahrire
